Madagascar,MDG,523.3590645
Maldives,MDV,10626.5134
Middle East & North Africa,MEA,7991.129005
Mexico,MEX,9946.033829
Marshall Islands,MHL,
Middle income,MIC,5573.244107
North Macedonia,MKD,6022.216179
Mali,MLI,879.0080104
Malta,MLT,29820.60325
Myanmar,MMR,1407.813143
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,8908.934792
Mongolia,MNG,4339.843279
Northern Mariana Islands,MNP,
Mozambique,MOZ,503.5707727
Mauritania,MRT,1679.444873
Mauritius,MUS,11099.24028
Malawi,MWI,411.5523404
Malaysia,MYS,11414.20698
North America,NAC,63344.07752
Namibia,NAM,4957.458222
New Caledonia,NCL,
Niger,NER,553.8950504
Nigeria,NGA,2229.858696
Nicaragua,NIC,1912.903745
Netherlands,NLD,52331.31673
Norway,NOR,75419.63487
Nepal,NPL,1071.050761
Nauru,NRU,9396.981967
New Zealand,NZL,42084.35337
OECD members,OED,39485.8942
Oman,OMN,15343.062
Other small states,OSS,13778.29351
Pakistan,PAK,1284.702041
Panama,PAN,15731.01603
Peru,PER,6977.695784
Philippines,PHL,3485.084218
Palau,PLW,14901.98353
Papua New Guinea,PNG,2829.170309
Poland,POL,15692.50703
Pre-demographic dividend,PRE,1485.649585
Puerto Rico,PRI,32873.71927
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,23252.05852
Paraguay,PRY,5414.799138
West Bank and Gaza,PSE,
Pacific island small states,PSS,4264.667414
Post-demographic dividend,PST,45618.88616
French Polynesia,PYF,
Qatar,QAT,62088.06183
Romania,ROU,12919.52964
Russian Federation,RUS,11584.99538
Rwanda,RWA,820.0252417
South Asia,SAS,1956.575921
Saudi Arabia,SAU,23139.79866
Sudan,SDN,441.5056034
Senegal,SEN,1446.830965
Singapore,SGP,65233.28244
Solomon Islands,SLB,2373.63247
Sierra Leone,SLE,527.5336344
El Salvador,SLV,4187.250031
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,7411.836116
Sub-Saharan Africa (excluding high income),SSA,1583.926065
South Sudan,SSD,
Sub-Saharan Africa,SSF,1596.213734
Small states,SST,12615.46585
Sao Tome and Principe,STP,1946.643614
Suriname,SUR,6359.833614
Slovak Republic,SVK,19266.2755
Slovenia,SVN,25946.18219
Sweden,SWE,51615.02065
Eswatini,SWZ,3894.679807
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,17448.27029
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,31353.32932
Chad,TCD,709.5403101
East Asia & Pacific (IDA & IBRD countries),TEA,8308.522906
Europe & Central Asia (IDA & IBRD countries),TEC,9017.278287
Togo,TGO,679.2902491
Thailand,THA,7806.742211
Tajikistan,TJK,870.7875893
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,8702.137464
Timor-Leste,TLS,1560.509822
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,4903.152903
South Asia (IDA & IBRD),TSA,1956.575921
Sub-Saharan Africa (IDA & IBRD countries),TSS,1596.213734
Trinidad and Tobago,TTO,17397.98176
Tunisia,TUN,3317.453593
Turkey,TUR,9126.561346
Tuvalu,TUV,4059.029996
Tanzania,TZA,1122.12181
Uganda,UGA,794.3410779
Ukraine,UKR,3659.031312
Upper middle income,UMC,9036.765255
Uruguay,URY,16190.12696
United States,USA,65297.51751
Uzbekistan,UZB,1724.841134
St. Vincent and the Grenadines,VCT,7457.509504
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2715.276036
Vanuatu,VUT,3115.35862
World,WLD,11441.73286
Samoa,WSM,4324.014018
Kosovo,XKX,4417.524062
"Yemen, Rep.",YEM,774.3344898
South Africa,ZAF,6001.400814
Zambia,ZMB,1305.063254
Zimbabwe,ZWE,1463.98591
